Year;pop;ISO3166_alpha3;ISO3166_numeric;biodiesel_cons_kbd;biodiesel_cons_kboed;biodiesel_cons_ktoe;biodiesel_cons_pj;biodiesel_prod_kbd;biodiesel_prod_kboed;biodiesel_prod_ktoe;biodiesel_prod_pj;biofuels_cons_ej;biofuels_cons_kbd;biofuels_cons_kboed;biofuels_cons_ktoe;biofuels_cons_mtoe;biofuels_cons_pj;biofuels_prod_kbd;biofuels_prod_kboed;biofuels_prod_ktoe;biofuels_prod_pj;biogeo_ej;biogeo_mtoe;biogeo_twh;co2_mtco2;coalcons_ej;coalcons_mtoe;coalprod_ej;coalprod_mt;coalprod_mtoe;cobalt_kt;elect_twh;electbyfuel_coal;electbyfuel_gas;electbyfuel_oil;ethanol_cons_kbd;ethanol_cons_kboed;ethanol_cons_ktoe;ethanol_cons_pj;ethanol_prod_kbd;ethanol_prod_kboed;ethanol_prod_ktoe;ethanol_prod_pj;gascons_bcfd;gascons_bcm;gascons_ej;gascons_mtoe;gasprod_bcfd;gasprod_bcm;gasprod_ej;gasprod_mtoe;gasreserves_tcm;graphite_kt;hydro_ej;hydro_mtoe;hydro_twh;liqcons_kbd;lithium_kt;nuclear_ej;nuclear_mtoe;nuclear_twh;oilcons_ej;oilcons_kbd;oilcons_mt;oilcons_mtoe;oilprod_crudecond_kbd;oilprod_kbd;oilprod_mt;oilprod_ngl_kbd;oilreserves_bbl;primary_ej;primary_gj_pc;primary_mtoe;rareearths_kt;refcap_kbd;refthru_kbd;ren_power_ej;ren_power_mtoe;ren_power_twh;renewables_ej;renewables_mtoe;solar_ej;solar_mtoe;solar_twh;wind_ej;wind_mtoe;wind_twh
1995;28,757788;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;79,14;0,03;0,62;;;;;19,72;;;;;;;;;;;;1,96;20,22;0,73;17,39;5,95;61,49;2,21;52,87;3,55;;0,00;0,05;0,19;196,47;;0,00;0,00;0,00;0,37;196,47;8,43;8,87;;1309,54;55,81;;9,98;1,13;39,20;26,92;;434,00;407,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1996;29,266415;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;79,08;0,01;0,29;;;;;20,65;;;;;;;;;;;;2,00;20,77;0,75;17,86;6,30;65,25;2,35;56,11;3,56;;0,00;0,03;0,14;185,47;;0,00;0,00;0,00;0,35;185,47;8,06;8,46;;1378,67;59,01;;10,80;1,12;38,12;26,65;;434,00;386,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1997;29,74298;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;75,49;0,02;0,51;;;;;21,50;;;;;;;;;;;;1,88;19,40;0,70;16,68;7,24;74,86;2,69;64,37;3,92;;0,00;0,02;0,08;185,63;;0,00;0,00;0,00;0,35;185,63;7,99;8,40;;1447,52;61,57;;11,20;1,07;36,05;25,61;;434,00;413,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1998;30,19275;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;78,06;0,02;0,55;;;;;23,26;;;;;;;;;;;;1,94;20,07;0,72;17,26;7,76;80,16;2,89;68,93;3,92;;0,00;0,05;0,22;192,28;;0,00;0,00;0,00;0,36;192,28;8,22;8,66;;1452,01;61,39;;11,31;1,11;36,76;26,51;;434,00;385,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1999;30,623406;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;77,68;0,02;0,59;;;;;24,76;;;;;;;;;;;;1,98;20,51;0,74;17,64;8,72;90,11;3,24;77,48;4,35;;0,00;0,05;0,20;185,52;;0,00;0,00;0,00;0,36;185,52;8,11;8,50;;1397,94;58,53;;11,31;1,12;36,61;26,78;;434,00;439,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2000;31,042238;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;75,98;0,02;0,49;;;;;25,41;;;;;;;;;;;;1,84;19,10;0,69;16,42;8,87;91,89;3,31;79,01;4,35;;0,00;0,01;0,05;190,40;;0,00;0,00;0,00;0,37;190,40;8,48;8,87;1289,15;1549,13;66,79;259,99;11,31;1,08;34,78;25,79;;434,00;427,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2001;31,451513;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;73,40;0,02;0,56;;;;;26,63;;;;;;;;;;;;1,91;19,73;0,71;16,97;8,37;86,47;3,11;74,35;4,35;;0,00;0,02;0,07;197,55;;0,00;0,00;0,00;0,38;197,55;8,78;9,18;1260,81;1534,25;65,75;273,44;11,31;1,12;35,57;26,72;;434,00;446,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2002;31,85511;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;76,09;0,03;0,74;;;;;27,65;;;;;;;;;;;;1,89;19,48;0,70;16,75;8,61;88,94;3,20;76,48;4,35;;0,00;0,01;0,06;220,02;;0,00;0,00;0,00;0,43;220,02;9,73;10,18;1355,67;1653,01;70,89;297,34;11,31;1,16;36,38;27,68;;434,00;434,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2003;32,264159;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;78,83;0,03;0,61;;;;;29,53;;;;;;;;;;;;1,99;20,59;0,74;17,71;9,08;93,86;3,38;80,70;4,37;;0,00;0,06;0,27;228,94;;0,00;0,00;0,00;0,44;228,94;10,13;10,59;1535,55;1826,28;79,01;290,73;11,80;1,21;37,59;28,97;;434,00;439,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2004;32,692153;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;81,00;0,03;0,72;;;;;31,25;;;;;;;;;;;;2,04;21,19;0,76;18,22;8,88;92,05;3,31;79,15;4,37;;0,00;0,06;0,25;238,27;;0,00;0,00;0,00;0,46;238,27;10,59;11,07;1628,35;1920,66;83,55;292,31;11,80;1,26;38,51;30,07;;442,97;365,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2005;33,14972;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;82,85;0,02;0,59;;;;;33,92;;;;;;;;;;;;2,16;22,36;0,80;19,22;8,22;84,91;3,06;73,01;4,34;;0,01;0,13;0,56;249,25;;0,00;0,00;0,00;0,48;249,25;11,03;11,54;1691,76;1989,93;86,44;298,17;12,27;1,32;39,77;31,49;;442,97;355,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2006;33,641007;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;87,30;0,04;0,88;;;;;35,23;;;;;;;;;;;;2,21;22,85;0,82;19,65;7,87;81,30;2,93;69,90;4,34;;0,00;0,05;0,22;257,55;;0,00;0,00;0,00;0,50;257,55;11,52;12,02;1696,75;1979,50;86,20;282,75;12,27;1,37;40,58;32,60;;442,97;381,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2007;34,166976;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;94,43;0,03;0,76;;;;;37,31;;;;;;;;;;;;2,26;23,38;0,84;20,10;7,90;81,65;2,94;70,20;4,34;;0,00;0,05;0,23;285,98;;0,00;0,00;0,00;0,56;285,98;12,90;13,45;1687,05;1992,27;86,48;305,22;12,20;1,44;42,10;34,36;;442,97;391,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2008;34,730604;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;100,37;0,03;0,76;;;;;40,24;;;;;;;;;;;;2,35;24,40;0,88;20,98;7,97;82,60;2,97;71,02;4,34;;0,00;0,06;0,28;308,66;;0,00;0,00;0,00;0,61;308,66;14,02;14,61;1643,26;1950,98;84,76;307,72;12,20;1,52;43,90;36,42;;444,50;429,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
